名称,住所,緯度,経度
公立・独立行政法人,,,
東京国立博物館,日本、〒110-8712 東京都台東区上野公園１３−９,35.7188351,139.7765215
京都国立博物館,日本、〒605-0931 京都府京都市東山区茶屋町５２７,34.9899887,135.773116
奈良国立博物館,日本、〒630-8212 奈良県奈良市登大路町５０,34.6831318,135.8383055
九州国立博物館,日本、〒818-0118 福岡県太宰府市石坂４丁目７−２,33.5182577,130.5381226
国立西洋美術館,日本、〒110-0007 東京都台東区上野公園７−７,35.7153869,139.7758138
国立国際美術館,日本、〒530-0005 大阪府大阪市北区中之島４丁目２−５５,34.6917757,135.492005
東京国立近代美術館,日本、〒102-8322 東京都千代田区北の丸公園３−１,35.6905432,139.7546932
京都国立近代美術館,日本、〒606-8344 京都府京都市左京区岡崎円勝寺町２６−１,35.0123642,135.7822091
国立新美術館,日本、〒106-8558 東京都港区六本木７丁目２２−２,35.665289,139.726374
三の丸尚蔵館,日本、〒100-0100 東京都千代田区千代田１−１ 皇居東御苑,35.6864261,139.7592442
北海道立近代美術館,日本、〒060-0001 北海道札幌市中央区北１条西１７丁目,43.0602675,141.3303854
北海道立三岸好太郎美術館,日本、〒060-0002 北海道札幌市中央区北２条西１５丁目,43.0616189,141.332823
北海道立函館美術館,日本、〒040-0001 北海道函館市五稜郭町３７−６ 北海道立函館美術館,41.7936933,140.7549465
北海道立旭川美術館,日本、〒070-0044 北海道旭川市常磐公園,43.774163,142.355386
北海道立帯広美術館,日本、〒080-0846 北海道帯広市緑ケ丘 公園内,42.9045824,143.1856519
北海道立釧路芸術館,日本、〒085-0017 北海道釧路市幸町４丁目１−５,42.9827392,144.3798136
札幌芸術の森美術館,日本、〒005-0864 北海道札幌市南区芸術の森２丁目７５,42.9392438,141.340209
安田侃彫刻美術館 アルテピアッツァ美唄,日本、〒072-0831 北海道美唄市落合町栄町,43.3323561,141.9120799
市立小樽美術館,日本、〒047-0031 北海道小樽市色内１丁目９−５,43.1964829,140.9998178
苫小牧市美術博物館,日本、〒053-0011 北海道苫小牧市末広町３丁目９−７,42.6374954,141.6129542
中原悌二郎記念旭川市彫刻美術館,日本、〒070-0875 北海道旭川市春光５条７丁目５,43.8055358,142.3644219
網走市立美術館,日本、〒093-0016 北海道網走市南６条西１丁目,44.0194412,144.2674884
北網圏北見文化センター,日本、〒090-0015 北海道北見市公園町１,43.818125,143.90373
釧路市立美術館,日本、〒085-0836 北海道釧路市幣舞町４−２８ 生涯学習センターまなぼっと３階,42.978074,144.3859881
青森県立美術館,日本、〒038-0021 青森県青森市安田近野１８５,40.8074165,140.7008597
弘前れんが倉庫美術館,日本、〒036-8188 青森県弘前市吉野町２−１,40.5981774,140.4728875
