名称,住所,緯度,経度
埼玉県立歴史と民俗の博物館,日本、〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目２１９,35.9212089,139.6298005
さいたま市宇宙劇場,日本、〒330-0853 埼玉県さいたま市大宮区錦町６８２−２ JACK大宮 3階,35.9080235,139.6215851
さいたま市博物館,日本、埼玉県さいたま市,35.8616486,139.6454782
浦和博物館,日本、〒336-0911 埼玉県さいたま市緑区三室2458番地,35.8905082,139.6776385
岩槻人形博物館,日本、〒339-0057 埼玉県さいたま市岩槻区本町６丁目１−１,35.9509269,139.6999235
丸木美術館,日本、〒355-0076 埼玉県東松山市下唐子１４０１,36.0282761,139.3521511
埼玉県自然の博物館,日本、〒369-1305 埼玉県秩父郡長瀞町長瀞１４１７−１,36.0875,139.1161111
うらわ美術館,日本、〒330-0062 埼玉県さいたま市浦和区仲町２丁目５−１ 浦和センチュリーシティ ３Ｆ ビル,35.8608315,139.6526758
さいたま市青少年宇宙科学館,日本、〒330-0051 埼玉県さいたま市浦和区駒場２丁目３−４５,35.8721706,139.6647975
千葉県立中央博物館,日本、〒260-0852 千葉県千葉市中央区青葉町９５５−２,35.5998298,140.1384005
飛騨みやがわ博物館,日本、岐阜県飛騨市,36.2381492,137.1862369
群馬県立歴史博物館,日本、〒370-1207 群馬県高崎市綿貫町９９２−１,36.2984468,139.0792432
群馬県立自然史博物館,日本、〒370-2345 群馬県富岡市上黒岩１６７４−１,36.2698979,138.8669273
茨城県立歴史博物館,日本、〒310-0034 茨城県水戸市緑町２丁目１−１５,36.3790513,140.4498119
ミュージアムパーク茨城県立自然博物館,日本、〒306-0622 茨城県坂東市大崎７００,36.0049307,139.9162694
神奈川　生命の星・地球博物館,日本、〒250-0031 神奈川県小田原市入生田４９９,35.2394963,139.121663
神奈川県立歴史博物館,日本、〒231-0006 神奈川県横浜市中区南仲通５丁目６０−６０ 神奈川県立歴史博物館,35.4491011,139.6366414
長野市立博物館,日本、〒381-2212 長野県長野市小島田町１４１４ 市立博物館,36.5918006,138.1886054
長野県立歴史館,日本、〒387-0007 長野県千曲市屋代２６０−６,36.5342695,138.1352479
新潟県立歴史博物館,日本、〒940-2035 新潟県長岡市関原町１丁目２２４７−２ 字権現堂２２４７ｰ２,37.4383931,138.7673549
新潟県立自然科学館,日本、〒950-0948 新潟県新潟市中央区女池南３丁目１−１,37.890746,139.049752
山梨県立歴史博物館,日本、〒406-0801 山梨県笛吹市御坂町成田１５０１−１,35.6402901,138.6486098
山梨県立博物館,日本、〒406-0801 山梨県笛吹市御坂町成田１５０１−１,35.6402901,138.6486098
