名称,住所,緯度,経度
北海道,日本、北海道,43.2203266,142.8634737
旭川市科学館 サイパル,日本、〒078-8329 北海道旭川市宮前１条３丁目３−３２,43.7563095,142.370507
旭川市博物館,日本、〒070-8003 北海道旭川市神楽３条７丁目１−４５ 旭川市博物館,43.7600653,142.3510309
足寄動物化石博物館,日本、〒089-3727 北海道足寄郡足寄町郊南１丁目２９−２５,43.2311098,143.5434443
網走市立郷土博物館,日本、〒093-0041 北海道網走市桂町１丁目１,44.0177056,144.2690717
石原裕次郎記念館,日本、〒047-0008 北海道小樽市築港５−５−１０,43.185245,141.022778
井上靖記念館,日本、〒070-0875 北海道旭川市春光５条７丁目５,43.805072,142.3636877
岩見沢郷土科学館,日本、〒068-0833 北海道岩見沢市志文町８０９−１,43.1615121,141.7835681
江差町郷土資料館,日本、〒043-0034 北海道檜山郡江差町中歌町１１２,41.8681747,140.1287897
エドウィン・ダン記念館,日本、〒005-0015 北海道札幌市南区真駒内泉町１丁目６,42.988981,141.352367
恵庭市郷土資料館,日本、〒061-1375 北海道恵庭市南島松１５７−２,42.909173,141.599732
小樽市総合博物館,日本、〒047-0041 北海道小樽市手宮１丁目３−６,43.2112693,141.001277
小樽文学館,日本、〒047-0031 北海道小樽市色内１丁目９−５,43.196764,140.999853
永倉新八記念館,日本、〒047-0021 北海道小樽市入船１丁目７−１,43.1875226,141.0025882
北海道立オホーツク流氷科学センター,日本、〒094-0023 北海道紋別市元紋別１１−６,44.3283409,143.3750043
オホーツク流氷館,日本、〒093-0044 北海道網走市天都山２４４−３,44.0004555,144.2395563
かかし古里館,日本、〒048-2202 北海道岩内郡共和町南幌似１０３−１３,42.9801975,140.6055658
旧函館博物館1号・2号,,,
釧路市こども遊学館,日本、〒085-0017 北海道釧路市幸町１０丁目２,42.9867348,144.3790161
釧路市立博物館,日本、〒085-0822 北海道釧路市春湖台１−７,42.9745993,144.4033678
港文館,日本、〒085-0847 北海道釧路市大町２丁目１−１２,42.9801762,144.3822612
札幌市アイヌ文化交流センター,日本、〒061-2274 北海道札幌市南区小金湯２７,42.9689242,141.2198004
札幌市交通資料館,日本、〒005-0011 北海道札幌市南区真駒内東町１丁目１,43.0054317,141.3645212
札幌市資料館,日本、〒060-0042 北海道札幌市中央区大通西１３丁目,43.058566,141.3374673
札幌市水道記念館,日本、〒064-0942 北海道札幌市中央区伏見４丁目６−１７ 札幌市水道記念館,43.0330011,141.3287623
札幌市青少年科学館,日本、〒004-0051 北海道札幌市厚別区厚別中央１条５丁目２−２０ 札幌市青少年科学館,43.0360985,141.4722638
札幌市手稲記念館,日本、〒063-0062 北海道札幌市西区西町南２１丁目３−１０,43.0856818,141.2736028
札幌市豊平川さけ科学館,日本、〒005-0017 北海道札幌市南区真駒内公園２−１,43.0010721,141.3432459
札幌市埋蔵文化財センター 札幌市中央区,日本、〒064-0922 北海道札幌市中央区南２２条西１３丁目１−１,43.0300833,141.3404833
サッポロビール博物館,日本、〒065-8633 北海道札幌市東区北７条東９丁目１−１,43.0714671,141.3689124
札幌村郷土記念館,日本、〒065-0013 北海道札幌市東区北１３条東１６丁目２−６ 札幌村郷土記念館,43.0805093,141.376767
沙流川歴史館,日本、〒055-0101 北海道沙流郡平取町二風谷２２７−２,42.637379,142.155882
標津サーモン科学館,日本、〒086-1631 北海道標津郡標津町北１条西６丁目１−１,43.659719,145.1158841
市立函館博物館,日本、〒040-0044 北海道函館市青柳町１７−１,41.7559785,140.7147983
北海道坂本龍馬記念館,日本、〒040-0053 北海道函館市末広町８−６,41.763946,140.7185927
土方・啄木浪漫館,日本、〒040-0022 北海道函館市日乃出町２５−４ 土方・啄木浪漫館,41.7727778,140.7549937
サケのふるさと　千歳水族館,日本、〒066-0028 北海道千歳市花園２丁目４−３１２,42.8327899,141.6591892
月形樺戸博物館,日本、〒061-0500 北海道樺戸郡月形町月形１２１９,43.3387383,141.6692403
大鵬相撲記念館,日本、〒088-3465 北海道川上郡弟子屈町川湯温泉２丁目１−２０,43.635321,144.437692
弟子屈町屈斜路コタンアイヌ民俗資料館,日本、〒088-3351 北海道川上郡弟子屈町屈斜路 屈斜路市街１条通１４番地,43.5632374,144.3421474
天体工場,,,
苫小牧市科学センター,日本、〒053-0018 北海道苫小牧市旭町３丁目１−１２,42.6317614,141.6048969
中標津町郷土館 標津郡中標津町丸山,日本、〒086-1164 北海道標津郡中標津町丸山２丁目１５,43.553504,144.97078
ナリタブライアン記念館,日本、〒059-2414 北海道新冠郡新冠町朝日２７３−６,42.39914,142.3673505
日本銀行旧小樽支店金融資料館,日本、〒047-0031 北海道小樽市色内１丁目１１−１６,43.1961722,141.0004638
二風谷アイヌ文化博物館,日本、〒055-0101 北海道沙流郡平取町二風谷５５−５５,42.6369479,142.1566998
登別市郷土資料館,日本、〒059-0016 北海道登別市片倉町６丁目２７−２,42.4205304,141.0819363
博物館網走監獄,日本、〒099-2421 北海道網走市呼人１−１,43.9964726,144.2305079
函館市青函連絡船記念館摩周丸,日本、〒040-0063 北海道函館市若松町１２−１２番地先,41.7728918,140.7217881
函館市文学館,日本、〒040-0053 北海道函館市末広町２２−５,41.7663509,140.7132731
函館市北洋資料館,日本、〒040-0001 北海道函館市五稜郭町３７−８ 函館市北洋資料館,41.7938279,140.7560284
ピアソン記念館,日本、〒090-0036 北海道北見市幸町７丁目４−２８,43.8064541,143.8869499
東川町郷土館,日本、〒071-1423 北海道上川郡東川町東町１丁目１６−２,43.699595,142.5110123
