名称,住所,緯度,経度
さいたま市立武蔵浦和図書館,日本、〒336-0021 埼玉県さいたま市南区別所７丁目２０−１,35.8452229,139.6453593
さいたま市立大宮図書館,日本、〒330-0843 埼玉県さいたま市大宮区吉敷町１丁目１２４−１,35.901783,139.6306352
さいたま市立桜図書館,日本、〒338-0835 埼玉県さいたま市桜区道場４丁目３−１,35.8560164,139.6104698
さいたま市岩槻駅東口図書館,日本、〒339-0057 埼玉県さいたま市岩槻区本町３丁目１−１ ワッツ西館 3F,35.9504185,139.6936884
さいたま市立　北図書館,日本、〒331-0812 埼玉県さいたま市北区宮原町１丁目８５２−１,35.9316072,139.6206616
さいたま市立東浦和図書館,日本、〒336-0932 埼玉県さいたま市緑区中尾１４４０−８ プラザイースト,35.8718554,139.6855003
さいたま市立与野図書館,日本、〒338-0002 埼玉県さいたま市中央区下落合５丁目１１−１１ さいたま市立与野図書館,35.8852515,139.627116
さいたま市立大宮東図書館,日本、〒337-0052 埼玉県さいたま市見沼区堀崎町４８−１ さいたま市立大宮東図書館,35.9344424,139.6574525
さいたま市岩槻図書館,日本、〒339-0034 埼玉県さいたま市岩槻区岩槻区笹久保 岩槻図書館,35.9235309,139.7124791
さいたま市立与野図書館　西分館,日本、〒338-0005 埼玉県さいたま市中央区桜丘２丁目６−２８,35.8821108,139.614984
さいたま市立桜木図書館,日本、〒330-0854 埼玉県さいたま市大宮区桜木町１丁目１０−１８,35.9054222,139.6187722
さいたま市立　中央図書館,日本、〒330-0055 埼玉県さいたま市浦和区東高砂町１１−１,35.8586171,139.6592777
さいたま市立大宮西部図書館　三橋分館,日本、〒331-0052 埼玉県さいたま市西区三橋６丁目６４２−４,35.917657,139.5919602
さいたま市立桜図書館　大久保東分館,日本、〒338-0826 埼玉県さいたま市桜区大久保領家１３１−６,35.8695438,139.6082594
さいたま市立北浦和図書館,日本、〒330-0074 埼玉県さいたま市浦和区北浦和１丁目４−２ さいたま市立北浦和図書館,35.8748354,139.6464313
さいたま市立大宮西部図書館,日本、〒331-0825 埼玉県さいたま市北区櫛引町２丁目４９９−１ さいたま市立大宮西部図書館,35.9194337,139.6094889
さいたま市立南浦和図書館,日本、〒336-0024 埼玉県さいたま市南区根岸１丁目７−１ さいたま市文化センター,35.8437221,139.663973
埼玉県　盲人福祉ホーム・埼玉点字図書館,日本、〒330-0852 埼玉県さいたま市大宮区大成町１丁目４６５ 埼玉県視覚障害福祉センター,35.9094369,139.6125442
社会福祉法人埼玉県視覚障害者福祉センター埼玉点字図書館,日本、〒330-0852 埼玉県さいたま市大宮区大成町１丁目４６５ 埼玉県視覚障害福祉センター,35.9094369,139.6125442
さいたま市立与野南図書館,日本、〒338-0012 埼玉県さいたま市中央区大戸６丁目２８−１６ さいたま市立与野南図書館,35.8668255,139.6339674
さいたま市立馬宮図書館,日本、〒331-0061 埼玉県さいたま市西区西遊馬５３３−１ 馬宮コミュニティセンター1階,35.9050897,139.5727272
さいたま市岩槻東部図書館,日本、〒339-0005 埼玉県さいたま市岩槻区東岩槻６丁目６,35.9618476,139.7161212
さいたま市立七里図書館,日本、〒337-0014 埼玉県さいたま市見沼区大谷１２１０ さいたま市七里コミュニティセンター 1階,35.9211459,139.6743801
さいたま市立春野図書館,日本、〒337-0002 埼玉県さいたま市見沼区春野２丁目１２−１ さいたま市立春野図書館,35.959109,139.660819
さいたま市立宮原図書館,日本、〒331-0811 埼玉県さいたま市北区吉野町２丁目１９５−１,35.9585932,139.6007486
さいたま市立片柳図書館,日本、〒337-0026 埼玉県さいたま市見沼区染谷３丁目１４７−１ さいたま市立片柳図書館,35.9093393,139.6844123
さいたま市立美園図書館,日本、〒336-0967 埼玉県さいたま市緑区美園４丁目１９−１,35.8951187,139.7276737
